TVShowId,GenreId
206559,10766
258463,18
18770,10764
262697,35
239270,35
239270,10767
214756,10764
214756,35
112470,10766
112470,18
1416,18
91759,10751
91759,35
91759,18
247885,35
247885,18
247885,10751
247885,10762
247885,10759
244919,10751
244919,35
244919,10762
244919,9648
113779,10763
113779,10767
249010,10766
251691,18
251691,10751
248890,10764
257048,10766
257048,18
257064,10766
257064,18
257064,35
73586,37
73586,18
13008,10763
13008,35
252373,18
112261,10767
222766,18
222766,10759
222766,9648
36361,18
36361,35
68822,10762
68822,10751
68822,10765
256121,18
256121,10759
1622,18
1622,9648
1622,10765
235484,10766
154828,10767
242722,18
242722,10751
60780,10764
125988,10765
125988,18
235493,10764
261033,10759
261033,18
72879,80
72879,18
45789,18
45789,10766
260695,18
276336,18
124364,9648
124364,18
124364,10765
261791,18
261791,10751
261791,35
262969,10766
262969,18
262831,10751
262831,35
262831,18
278181,99
236994,16
236994,10759
236994,35
236994,10765
4614,80
4614,18
4614,10759
270792,18
2912,10764
2912,10751
240411,16
240411,10759
240411,35
240411,10765
242931,10759
242931,18
242931,10768
242931,10751
243117,10766
243117,18
81329,10766
156899,35
156899,18
239526,18
274717,10763
273825,10766
273825,18
273911,18
273911,10751
273911,35
261579,16
261579,10765
261579,10759
131041,16
131041,10759
131041,18
2288,10759
2288,80
2288,18
113962,18
113962,10768
242099,10766
1399,10765
1399,18
1399,10759
2734,80
2734,18
2734,9648
275464,18
275464,10751
275464,9648
205582,10763
2224,10763
2224,35
90228,10765
90228,18
90228,10759
12409,10764
79744,80
79744,18
79744,35
456,10751
456,16
456,35
1419,18
1419,80
1405,80
1405,18
1405,9648
1900,10767
1054,10766
1054,18
94722,10763
154770,10764
1396,18
1396,80
202879,10759
202879,10765
115472,10763
115472,99
115472,10767
121290,10764
237478,10766
237478,18
237478,9648
1433,16
1433,35
94605,16
94605,10765
94605,10759
94605,9648
94605,18
95897,16
95897,35
275720,10764
2261,10767
1408,18
1408,9648
1408,35
136166,10764
34307,18
34307,35
253905,18
253905,9648
77169,10759
77169,18
77169,35
46952,18
46952,80
46952,9648
6883,10763
1695,35
1695,80
1695,18
1695,9648
44217,10759
44217,18
44217,10768
1421,35
57706,35
57706,10759
57706,16
57706,10765
128839,10765
128839,18
128839,10759
225385,10759
225385,9648
225385,80
233971,80
233971,18
37680,18
155256,16
155256,10762
155256,35
155256,10765
155256,10759
71712,18
1434,16
1434,35
4057,80
4057,18
4057,9648
203599,10763
203599,10764
203599,99
34860,35
34860,10759
34860,10762
34860,16
34860,10751
95057,18
95057,10765
60625,16
60625,35
60625,10765
60625,10759
278318,18
207333,18
207333,10765
135137,10767
10536,35
10536,10767
63174,80
63174,10765
1668,35
210865,10751
210865,18
13805,99
60059,80
60059,18
764,80
764,18
764,9648
76479,10765
76479,10759
218843,16
218843,10759
218843,10765
1620,18
1620,9648
