TVShowId,Title,Popularity,Overview,ReleaseDate,PosterPath
206559,Binnelanders,2455.284,"A South African Afrikaans soap opera. It is set in and around the fictional private hospital, Binneland Kliniek, in Pretoria, and the storyline follows the trials, trauma and tribulations of the staff and patients of the hospital.",2005-10-13,https://image.tmdb.org/t/p/w500/3bzECfllho8PphdYujLUIuhncJD.jpg
258463,Brocade Odyssey,2358.865,"Ji Yingying, a spirited woman from the Shu brocade, strives to restore her family’s honor and rebuild their legacy. Facing powerful rivals and the looming threat of Nanzhao Kingdom, she joins forces with Yang Jinglan to revive the Shu brocade industry and safeguard its artisans.",2024-11-30,https://image.tmdb.org/t/p/w500/6TobR12xuAxyuN8BL0Yf08ZfFly.jpg
18770,Gran Hermano,2078.686,"Gran Hermano is a reality television series broadcast in Spain on Telecinco and La Siete produced by Endemol. It is part of the Big Brother franchise first developed in the Netherlands. As of February 2012, 19 editions of the show have aired.",2000-04-23,https://image.tmdb.org/t/p/w500/gQ0Emh2LT047Fip2HWye3NkrkQB.jpg
262697,Nissesvingen,2012.222,,2024-12-01,https://image.tmdb.org/t/p/w500/2ZIJRRbKNyMr7W4Imy6jjv3E6bD.jpg
239270,Asbjørns julekalender,1846.127,,2023-12-01,https://image.tmdb.org/t/p/w500/lG3usDELM3VixdqTGWNdjE8QVms.jpg
214756,24-stjerners julekalender,1784.758,,2022-12-01,https://image.tmdb.org/t/p/w500/txuVmmwkO1KM3Ml6dQfsBo7ptdQ.jpg
112470,Ici tout commence,1741.739,"This television drama series is centered around the prestigious culinary school of renowned chef Auguste Armand. The show follows the lives of students and staff as they navigate the challenges and pressures of the culinary world—delving into their personal and professional lives, revealing secrets, rivalries, and complex relationships.",2020-11-02,https://image.tmdb.org/t/p/w500/v7nXPo2zdaIOfeIaERiOuTEt89N.jpg
1416,Grey's Anatomy,1733.158,Follows the personal and professional lives of a group of doctors at Seattle’s Grey Sloan Memorial Hospital.,2005-03-27,https://image.tmdb.org/t/p/w500/7jEVqXC14bhfAzSPgr896dMdDv6.jpg
91759,Come Home Love: Lo and Behold,1713.543,"Hung Sue Gan starting from the bottom, established his own logistics company, which is now running smoothly. His only concern now are his three daughters. His eldest daughter has immigrated overseas. His second daughter Hung Yeuk Shui has reached the marriageable age, but has no hopes for marriage anytime soon. She is constantly bickering with her younger sister Hung Sum Yue, who is an honour student, over trivial matters, causing their father to not know whether to laugh or cry. Hung Sue Yan, Hung Sue Gan's brother, moves in with the family, temporarily ending his life as a nomadic photographer. He joins Hung Yeuk Shui's company and encounters Ko Pak Fei, the director of an online shop. The two appear to be former lovers, making for lots of laughter. Since Hung Sue Yan moved in, a series of strange events have occurred in the family. Upon investigation, the source is traced to Lung Ging Fung, a promising young man who is the son of department store mogul Lung Gam Wai.",2017-02-06,https://image.tmdb.org/t/p/w500/lgD4j9gUGmMckZpWWRJjorWqGVT.jpg
247885,Papás por Conveniencia,1697.759,"Tino, a single father who faces great challenges in raising his two children, finds out one day that he is also the father of two rebellious teenagers, children of Aidé, a former high school classmate who has become an important businesswoman. For Tino, this news becomes an opportunity to take on the role of father of the children he never knew he had. Thus, he begins to work at Aidé's company, but everything gets complicated when Tino and his family move into Aidé's house to integrate into her new life. The house becomes a battlefield, both of their children have problems adapting, and love resurfaces between Tino and Aidé and a torrid romance begins. But building this new life for Aidé, Tino and their children will not be easy; they will have to face serious obstacles, always supported by the strength of their love and that of their children.",2024-10-21,https://image.tmdb.org/t/p/w500/y7yIu9PKx2WTphhYgbBq9C1RNzV.jpg
244919,Snow Dreams,1626.763,"The snow is mysteriously missing from ski resort Gavmofjäll, leading 14-year old sámi girl Ristin and her little sister Aila on a quest deep into the ancient secrets of the mountain to save their family from catastrophe.",2024-12-01,https://image.tmdb.org/t/p/w500/mF2KuN917JQmRYJTI74s0hGlunr.jpg
113779,Hallo Hessen,1576.562,,2012-01-30,https://image.tmdb.org/t/p/w500/zRGme9GL0H5RmwzxKYzoXafcRDp.jpg
249010,Kelders van Geheime,1575.808,"Kelders van Geheime (Cellars of Secrets) is a South African, Afrikaans-language telenovela based on the wheeling's and dealings of the community that lives on Soebatskloof (a wine farm in the Cape). The series focuses on three families: the Abrahams, Syster and Marais households. These families will have to stand together, agree (or agree to disagree), and work together to earn their bread and butter – and a glass of wine.",2024-05-06,https://image.tmdb.org/t/p/w500/vf1I0G5jICTstI1EXxb9Oqq80TU.jpg
251691,Autumn of the Heart,1564.578,"A devastating car accident unearths a long-buried secret that turns wealthy businessman Rashid and hardworking Nahla's life around; fifteen years ago, their daughters were switched at birth.",2024-10-27,https://image.tmdb.org/t/p/w500/8uDmIxjBx90y5OCwJDBADtQzxb7.jpg
248890,Ready Steady Cook South Africa,1564.216,"In Ready Steady Cook, two teams - a Red Tomato and a Green Pepper - compete in a Red Kitchen and a Green Kitchen, together with a South African chef on each side and paired with enthusiastic home cooks, as they are challenged creatively with a mystery bag of ingredients in a 20-minute cook-off.",2024-03-18,https://image.tmdb.org/t/p/w500/30xX4IMbgnMbQwo76xM4BOSokZO.jpg
257048,Garota do Momento,1515.672,,2024-11-04,https://image.tmdb.org/t/p/w500/jFSkjQSZ5Td52igalpoTQRuHtk.jpg
257064,Volta por Cima,1447.166,,2024-09-30,https://image.tmdb.org/t/p/w500/nyN8R0P1Hqwq7ksJz4O2BIAUd4W.jpg
73586,Yellowstone,1363.76,"Follow the violent world of the Dutton family, who controls the largest contiguous ranch in the United States. Led by their patriarch John Dutton, the family defends their property against constant attack by land developers, an Indian reservation, and America’s first National Park.",2018-06-20,https://image.tmdb.org/t/p/w500/s4QRRYc1V2e68Qy9Wel9MI8fhRP.jpg
13008,TMZ,1361.154,"Based on the popular gossip website, this entertainment newsmagazine delivers daily updates on Hollywood's rich, beautiful and screwed-up. The program often shows highlights of the day's staff meeting during which reporters pitch ideas for stories to air that day.",2007-09-10,https://image.tmdb.org/t/p/w500/ifFpUG51DJaQxwnZ35VwoGRFGGv.jpg
252373,A Promessa,1343.527,,2024-06-18,https://image.tmdb.org/t/p/w500/uptgxt2apx5wwWItQzqL0HwhjZC.jpg
